year,chapter,chapter_name,emergency
2011,XVI,Perinatal conditions,39949.0
2011,XVII,Congenital malformations,10447.0
2011,XVIII,Symptoms & abnormal findings,1144404.0
2011,XXI,Health services contacts,44381.0
2012,I,Infectious & parasitic diseases,282611.0
2012,II,Neoplasms,141833.0
2012,III,Blood & immune disorders,66447.0
2012,IV,"Endocrine, nutritional & metabolic",104314.0
2012,IX,Circulatory system diseases,498497.0
2012,V,Mental & behavioural disorders,134276.0
2012,VI,Nervous system diseases,121272.0
2012,VII,Eye & adnexa diseases,25314.0
2012,VIII,Ear & mastoid diseases,18205.0
2012,X,Respiratory system diseases,677856.0
2012,XI,Digestive system diseases,456395.0
2012,XII,Skin & subcutaneous tissue,135478.0
2012,XIII,Musculoskeletal & connective tissue,202179.0
2012,XIV,Genitourinary system diseases,270447.0
2012,XIX,Injury & poisoning,766696.0
2012,XV,Pregnancy & childbirth,346.0
2012,XVI,Perinatal conditions,42244.0
2012,XVII,Congenital malformations,10399.0
2012,XVIII,Symptoms & abnormal findings,1138627.0
2012,XXI,Health services contacts,39129.0
2013,I,Infectious & parasitic diseases,265891.0
2013,II,Neoplasms,127425.0
2013,III,Blood & immune disorders,64057.0
2013,IV,"Endocrine, nutritional & metabolic",108738.0
2013,IX,Circulatory system diseases,507245.0
2013,V,Mental & behavioural disorders,136943.0
2013,VI,Nervous system diseases,122979.0
2013,VII,Eye & adnexa diseases,25610.0
2013,VIII,Ear & mastoid diseases,18786.0
2013,X,Respiratory system diseases,665257.0
2013,XI,Digestive system diseases,474850.0
2013,XII,Skin & subcutaneous tissue,144744.0
2013,XIII,Musculoskeletal & connective tissue,211728.0
2013,XIV,Genitourinary system diseases,285423.0
2013,XIX,Injury & poisoning,799015.0
2013,XV,Pregnancy & childbirth,326.0
2013,XVI,Perinatal conditions,43343.0
2013,XVII,Congenital malformations,10028.0
2013,XVIII,Symptoms & abnormal findings,1152875.0
2013,XXI,Health services contacts,39538.0
2014,I,Infectious & parasitic diseases,284102.0
2014,II,Neoplasms,131805.0
2014,III,Blood & immune disorders,65770.0
2014,IV,"Endocrine, nutritional & metabolic",114401.0
2014,IX,Circulatory system diseases,517691.0
2014,V,Mental & behavioural disorders,139434.0
2014,VI,Nervous system diseases,127504.0
2014,VII,Eye & adnexa diseases,26858.0
2014,VIII,Ear & mastoid diseases,20433.0
2014,X,Respiratory system diseases,748834.0
2014,XI,Digestive system diseases,491775.0
2014,XII,Skin & subcutaneous tissue,154567.0
2014,XIII,Musculoskeletal & connective tissue,224061.0
2014,XIV,Genitourinary system diseases,304360.0
2014,XIX,Injury & poisoning,803159.0
2014,XV,Pregnancy & childbirth,374.0
2014,XVI,Perinatal conditions,45317.0
2014,XVII,Congenital malformations,10066.0
2014,XVIII,Symptoms & abnormal findings,1152464.0
2014,XXI,Health services contacts,40626.0
2015,I,Infectious & parasitic diseases,306087.0
2015,II,Neoplasms,130092.0
2015,III,Blood & immune disorders,69175.0
2015,IV,"Endocrine, nutritional & metabolic",120662.0
2015,IX,Circulatory system diseases,535875.0
2015,V,Mental & behavioural disorders,142234.0
2015,VI,Nervous system diseases,129705.0
2015,VII,Eye & adnexa diseases,27693.0
2015,VIII,Ear & mastoid diseases,22368.0
2015,X,Respiratory system diseases,791063.0
2015,XI,Digestive system diseases,508708.0
2015,XII,Skin & subcutaneous tissue,164045.0
2015,XIII,Musculoskeletal & connective tissue,239847.0
2015,XIV,Genitourinary system diseases,314994.0
2015,XIX,Injury & poisoning,798070.0
2015,XV,Pregnancy & childbirth,382.0
2015,XVI,Perinatal conditions,48050.0
2015,XVII,Congenital malformations,10390.0
2015,XVIII,Symptoms & abnormal findings,1149783.0
2015,XXI,Health services contacts,38723.0
2016,I,Infectious & parasitic diseases,334413.0
2016,II,Neoplasms,131575.0
2016,III,Blood & immune disorders,72289.0
2016,IV,"Endocrine, nutritional & metabolic",126683.0
2016,IX,Circulatory system diseases,541330.0
2016,V,Mental & behavioural disorders,136393.0
2016,VI,Nervous system diseases,127268.0
